Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
2015-06-16,2015-08-23,68,119,2015-20152438,26520.71,26520.71,False,Fully Paid,True,2015-06,2015,2015-08,2015,False,0.0
2015-04-30,2015-06-01,32,119,2015-20152363,51338.3,51338.3,False,Fully Paid,True,2015-04,2015,2015-06,2015,False,0.0
2015-02-26,2015-06-01,95,119,2015-20152306,40391.35,40391.35,False,Fully Paid,True,2015-02,2015,2015-06,2015,False,0.0
2016-03-30,2016-05-17,48,119,2016-20162978,11559.75,11559.75,False,Fully Paid,True,2016-03,2016,2016-05,2016,False,0.0
2016-04-30,2016-06-06,37,119,2016-20163058,11559.75,11559.75,False,Fully Paid,True,2016-04,2016,2016-06,2016,False,0.0
2016-05-31,2016-07-28,58,119,2016-20163098,11559.75,11559.75,True,Fully Paid,True,2016-05,2016,2016-07,2016,False,0.0
2016-06-30,2016-07-28,28,119,2016-20163157,11559.75,11559.75,True,Fully Paid,False,2016-06,2016,2016-07,2016,False,0.0
2016-07-31,2016-08-31,31,119,2016-20163205,11559.75,11559.75,True,Fully Paid,True,2016-07,2016,2016-08,2016,False,0.0
2016-08-28,2016-09-30,33,119,2016-20163226,11559.75,3678.1,True,Partially Paid,True,2016-08,2016,2016-09,2016,True,7881.65
2016-08-28,2016-09-30,33,119,2016-20163226,11559.75,7881.65,True,Partially Paid,True,2016-08,2016,2016-09,2016,True,3678.1000000000004
2016-09-30,2016-11-24,55,119,2016-20163304,11559.75,11559.75,True,Fully Paid,True,2016-09,2016,2016-11,2016,False,0.0
2016-09-30,2016-11-24,55,119,2016-20163304,11559.75,11559.75,True,Fully Paid,True,2016-09,2016,2016-11,2016,False,0.0
2016-10-30,2016-11-24,25,119,2016-20163337,11559.75,11559.75,False,Fully Paid,False,2016-10,2016,2016-11,2016,False,0.0
2016-11-30,2017-01-04,35,119,2016-20163414,11559.75,11559.75,False,Fully Paid,True,2016-11,2016,2017-01,2017,False,0.0
2016-12-29,2017-02-15,48,119,2016-20163449,11559.75,11559.75,False,Fully Paid,True,2016-12,2016,2017-02,2017,False,0.0
2017-01-31,2017-03-08,36,119,2017-20173505,11559.75,11559.75,False,Fully Paid,True,2017-01,2017,2017-03,2017,False,0.0
2017-02-28,2017-05-29,90,119,2017-20173556,11559.75,11559.75,False,Fully Paid,True,2017-02,2017,2017-05,2017,False,0.0
2017-03-30,2017-12-28,273,119,2017-20173610,11559.75,11559.75,False,Fully Paid,True,2017-03,2017,2017-12,2017,False,0.0
2017-04-30,2017-12-28,242,119,2017-20173670,11559.75,11559.75,False,Fully Paid,True,2017-04,2017,2017-12,2017,False,0.0
2017-05-31,2017-12-28,211,119,2017-20173721,11559.75,11559.75,False,Fully Paid,True,2017-05,2017,2017-12,2017,False,0.0
2017-06-29,2017-12-28,182,119,2017-20173770,11559.75,11559.75,False,Fully Paid,True,2017-06,2017,2017-12,2017,False,0.0
2017-07-31,2017-12-28,150,119,2017-20173842,11559.75,11559.75,False,Fully Paid,True,2017-07,2017,2017-12,2017,False,0.0
2017-08-30,2017-12-28,120,119,2017-20173904,11559.75,11559.75,False,Fully Paid,True,2017-08,2017,2017-12,2017,False,0.0
2017-09-30,2017-12-28,89,119,2017-20173931,11559.75,11559.75,False,Fully Paid,True,2017-09,2017,2017-12,2017,False,0.0
2017-10-31,2017-12-28,58,119,2017-20173972,11559.75,11559.75,False,Fully Paid,True,2017-10,2017,2017-12,2017,False,0.0
2017-11-29,2017-12-28,29,119,2017-20174021,11559.75,11559.75,False,Fully Paid,False,2017-11,2017,2017-12,2017,False,0.0
2017-12-24,2019-07-02,555,119,2017-20174054,11559.75,11559.75,False,Fully Paid,True,2017-12,2017,2019-07,2019,False,0.0
